tempo	vel	tempo	pos	tempo	in	tempo	esf
4751	-0,0634766	4751	0,283203	4751	0	4751	-0,16971
4752	-0,0634766	4752	0,283203	4752	0	4752	-0,170741
4753	-0,0634766	4753	0,283203	4753	0	4753	-0,171591
4754	-0,0634766	4754	0,283203	4754	0	4754	-0,172292
4755	-0,0634766	4755	0,27832	4755	0	4755	-0,154812
4756	-0,0683594	4756	0,283203	4756	0	4756	-0,175983
4757	-0,0634766	4757	0,297852	4757	0	4757	-0,230087
4758	-0,0634766	4758	0,283203	4758	0	4758	-0,167945
4759	-0,0634766	4759	0,283203	4759	0	4759	-0,169286
4760	-0,0585938	4760	0,283203	4760	0	4760	-0,170391
4761	-0,0683594	4761	0,283203	4761	0	4761	-0,171302
4762	-0,0634766	4762	0,283203	4762	0	4762	-0,172054
4763	-0,0634766	4763	0,283203	4763	0	4763	-0,172674
4764	-0,0634766	4764	0,288086	4764	0	4764	-0,191242
4765	-0,0634766	4765	0,283203	4765	0	4765	-0,170969
4766	-0,0634766	4766	0,283203	4766	0	4766	-0,171779
4767	-0,0634766	4767	0,288086	4767	0	4767	-0,190505
4768	-0,0634766	4768	0,283203	4768	0	4768	-0,170361
4769	-0,0634766	4769	0,283203	4769	0	4769	-0,171277
4770	-0,0634766	4770	0,283203	4770	0	4770	-0,172033
4771	-0,0634766	4771	0,283203	4771	0	4771	-0,172657
4772	-0,0585938	4772	0,283203	4772	0	4772	-0,17317
4773	-0,0634766	4773	0,288086	4773	0	4773	-0,191652
4774	-0,0634766	4774	0,283203	4774	0	4774	-0,171307
4775	-0,0634766	4775	0,283203	4775	0	4775	-0,172057
4776	-0,0634766	4776	0,283203	4776	0	4776	-0,172676
4777	-0,0634766	4777	0,283203	4777	0	4777	-0,173187
4778	-0,0634766	4778	0,283203	4778	0	4778	-0,173608
4779	-0,0585938	4779	0,288086	4779	0	4779	-0,192013
4780	-0,0634766	4780	0,283203	4780	0	4780	-0,171604
4781	-0,0634766	4781	0,288086	4781	0	4781	-0,19036
4782	-0,0634766	4782	0,288086	4782	0	4782	-0,1883
4783	-0,0585938	4783	0,283203	4783	0	4783	-0,168542
4784	-0,0585938	4784	0,283203	4784	0	4784	-0,169778
4785	-0,0634766	4785	0,288086	4785	0	4785	-0,188855
4786	-0,0634766	4786	0,283203	4786	0	4786	-0,169
4787	-0,0585938	4787	0,27832	4787	0	4787	-0,152098
4788	-0,0634766	4788	0,283203	4788	0	4788	-0,173745
4789	-0,0634766	4789	0,288086	4789	0	4789	-0,192126
4790	-0,0634766	4790	0,283203	4790	0	4790	-0,171698
4791	-0,0634766	4791	0,283203	4791	0	4791	-0,17238
4792	-0,0634766	4792	0,283203	4792	0	4792	-0,172942
4793	-0,0634766	4793	0,283203	4793	0	4793	-0,173406
4794	-0,0634766	4794	0,283203	4794	0	4794	-0,173788
4795	-0,0634766	4795	0,283203	4795	0	4795	-0,174104
4796	-0,0585938	4796	0,283203	4796	0	4796	-0,174364
4797	-0,0634766	4797	0,288086	4797	0	4797	-0,192636
4798	-0,0634766	4798	0,283203	4798	0	4798	-0,172118
4799	-0,0634766	4799	0,288086	4799	0	4799	-0,190784
4800	-0,0585938	4800	0,288086	4800	0	4800	-0,188649
4801	-0,0634766	4801	0,288086	4801	0	4801	-0,186888
4802	-0,0634766	4802	0,283203	4802	0	4802	-0,167379
4803	-0,0585938	4803	0,283203	4803	0	4803	-0,168819
4804	-0,0634766	4804	0,283203	4804	0	4804	-0,170006
4805	-0,0634766	4805	0,288086	4805	0	4805	-0,189043
4806	-0,0634766	4806	0,288086	4806	0	4806	-0,187213
4807	-0,0634766	4807	0,288086	4807	0	4807	-0,185704
4808	-0,0585938	4808	0,283203	4808	0	4808	-0,166402
4809	-0,0634766	4809	0,283203	4809	0	4809	-0,168014
4810	-0,0634766	4810	0,288086	4810	0	4810	-0,1874
4811	-0,0634766	4811	0,283203	4811	0	4811	-0,167801
4812	-0,0634766	4812	0,283203	4812	0	4812	-0,169166
4813	-0,0634766	4813	0,283203	4813	0	4813	-0,170293
4814	-0,0634766	4814	0,283203	4814	0	4814	-0,171221
4815	-0,0634766	4815	0,288086	4815	0	4815	-0,190045
4816	-0,0634766	4816	0,283203	4816	0	4816	-0,169981
4817	-0,0634766	4817	0,288086	4817	4	4817	10
4818	-0,0634766	4818	0,27832	4818	4	4818	10
4819	-0,0585938	4819	0,302734	4819	4	4819	10
4820	-0,0634766	4820	0,356445	4820	4	4820	8,94921
4821	0,566406	4821	0,424805	4821	4	4821	7,52268
4822	0,766602	4822	0,527344	4822	4	4822	6,21258
4823	0,927734	4823	0,65918	4823	4	4823	5,01282
4824	1,04004	4824	0,791016	4824	4	4824	4,0092
4825	1,10352	4825	0,9375	4825	4	4825	3,11315
4826	1,15723	4826	1,08887	4826	4	4826	2,3403
4827	1,20605	4827	1,25488	4827	4	4827	1,63241
4828	1,21582	4828	1,41602	4828	4	4828	1,0487
4829	1,22559	4829	1,57227	4829	4	4829	0,567933
4830	1,21094	4830	1,7334	4830	4	4830	0,136456
4831	1,19629	4831	1,88477	4831	4	4831	-0,200734
4832	1,16699	4832	2,03613	4832	4	4832	-0,495233
4833	1,12793	4833	2,19238	4833	4	4833	-0,772587
4834	1,08398	4834	2,33887	4834	4	4834	-0,982163
4835	1,04492	4835	2,48047	4835	4	4835	-1,15285
4836	0,996094	4836	2,6123	4836	4	4836	-1,27287
4837	0,97168	4837	2,74414	4837	4	4837	-1,38618
4838	0,893555	4838	2,85645	4838	4	4838	-1,42172
4839	0,849609	4839	2,97363	4839	4	4839	-1,4813
4840	0,805664	4840	3,08106	4840	4	4840	-1,50705
4841	0,751953	4841	3,17871	4841	4	4841	-1,50386
4842	0,688477	4842	3,36914	4842	4	4842	-1,85495
4843	0,634766	4843	3,35938	4843	4	4843	-1,42478
4844	0,561523	4844	3,4375	4844	4	4844	-1,39406
4845	0,532227	4845	3,50586	4845	4	4845	-1,34112
4846	0,473633	4846	3,58398	4846	4	4846	-1,34101
4847	0,454102	4847	3,64258	4847	4	4847	-1,27719
4848	0,415039	4848	3,70606	4848	4	4848	-1,24899
4849	0,385742	4849	3,75488	4849	4	4849	-1,17848
4850	0,366211	4850	3,79883	4850	4	4850	-1,10759
4851	0,327148	4851	3,84766	4851	4	4851	-1,07197
4852	0,288086	4852	3,88184	4852	4	4852	-0,993739
4853	0,258789	4853	3,91602	4853	4	4853	-0,932951
4854	0,219727	4854	3,96484	4854	4	4854	-0,940719
4855	0,219727	4855	3,98926	4855	4	4855	-0,862145
4856	0,166016	4856	4,01367	4856	4	4856	-0,800013
4857	0,166016	4857	4,02344	4857	4	4857	-0,697262
4858	0,112305	4858	4,06738	4858	4	4858	-0,740006
4859	0,112305	4859	4,06738	4859	4	4859	-0,617509
4860	0,112305	4860	4,08691	4860	4	4860	-0,588735
4861	0,0683594	4861	4,11621	4861	4	4861	-0,603249
4862	0,0683594	4862	4,11133	4862	4	4862	-0,491999
4863	0,0634766	4863	4,13086	4863	4	4863	-0,490024
4864	0,0634766	4864	4,13574	4864	4	4864	-0,436347
4865	0,0683594	4865	4,13574	4865	4	4865	-0,37456
4866	0,0683594	4866	4,15039	4866	4	4866	-0,377786
4867	0,0732422	4867	4,15039	4867	4	4867	-0,327866
4868	0,0634766	4868	4,14551	4868	4	4868	-0,268646
4869	0,0683594	4869	4,14551	4869	4	4869	-0,237342
4870	0,0634766	4870	4,13574	4870	4	4870	-0,175415
4871	0,0683594	4871	4,13574	4871	4	4871	-0,159405
4872	0,0634766	4872	4,13574	4872	4	4872	-0,146204
4873	-0,0976563	4873	4,12109	4873	4	4873	-0,081146
4874	-0,0976563	4874	4,12109	4874	4	4874	-0,0800815
4875	-0,102539	4875	4,11621	4875	4	4875	-0,061146
4876	-0,0976563	4876	4,11621	4876	4	4876	-0,0630591
4877	-0,102539	4877	4,11133	4877	4	4877	-0,0465788
4878	-0,102539	4878	4,11133	4878	4	4878	-0,0505165
4879	-0,0976563	4879	4,11133	4879	4	4879	-0,0537634
4880	-0,0976563	4880	4,11621	4880	4	4880	-0,0744985
4881	-0,0976563	4881	4,11133	4881	4	4881	-0,0560113
4882	-0,0976563	4882	4,11621	4882	4	4882	-0,076352
4883	-0,0976563	4883	4,11133	4883	4	4883	-0,0575396
4884	-0,102539	4884	4,11133	4884	4	4884	-0,0595543
4885	-0,102539	4885	4,11133	4885	4	4885	-0,0612156
4886	-0,0976563	4886	4,10645	4886	4	4886	-0,0445276
4887	-0,102539	4887	4,11133	4887	4	4887	-0,0663519
4888	-0,102539	4888	4,11133	4888	4	4888	-0,0668206
4889	-0,0927734	4889	4,11133	4889	4	4889	-0,0672071
4890	-0,107422	4890	4,11133	4890	4	4890	-0,0675258
4891	-0,102539	4891	4,11133	4891	4	4891	-0,0677886
4892	-0,102539	4892	4,11621	4892	4	4892	-0,0860631
4893	-0,102539	4893	4,11133	4893	4	4893	-0,065547
4894	-0,102539	4894	4,11133	4894	4	4894	-0,066157
4895	-0,0976563	4895	4,11621	4895	4	4895	-0,0847178
4896	-0,102539	4896	4,11621	4896	4	4896	-0,0824955
4897	-0,102539	4897	4,11133	4897	4	4897	-0,0626053
4898	-0,102539	4898	4,11133	4898	4	4898	-0,0637313
4899	-0,102539	4899	4,11133	4899	4	4899	-0,0646598
4900	-0,102539	4900	4,11133	4900	4	4900	-0,0654254
4901	-0,0976563	4901	4,11133	4901	4	4901	-0,0660567
4902	-0,102539	4902	4,11133	4902	4	4902	-0,0665772
4903	-0,102539	4903	4,11621	4903	4	4903	-0,0850643
4904	-0,102539	4904	4,11133	4904	4	4904	-0,0647234
4905	-0,107422	4905	4,06738	4905	4	4905	0,0970427
