Amostra - Velocidade C/AI0+	Amplitude - Velocidade C/AI0+	Amostra - Set-point	Amplitude - Set-point	Amostra - Esf controle	Amplitude - Esf controle
3492	1,87988	3492	2	3492	2,48558
3493	1,89453	3493	2	3493	2,18246
3494	1,9043	3494	2	3494	1,98038
3495	1,87988	3495	2	3495	2,48558
3496	1,8457	3496	2	3496	3,19286
3497	1,85547	3497	2	3497	2,99078
3498	1,87012	3498	2	3498	2,68766
3499	1,89941	3499	2	3499	2,08142
3500	1,87988	3500	2	3500	2,48558
3501	1,85547	3501	2	3501	2,99078
3502	1,85547	3502	2	3502	2,99078
3503	1,85547	3503	2	3503	2,99078
3504	1,86523	3504	2	3504	2,7887
3505	1,875	3505	2	3505	2,58662
3506	1,88477	3506	2	3506	2,38454
3507	1,83105	3507	2	3507	3,49598
3508	1,86523	3508	2	3508	2,7887
3509	1,89941	3509	2	3509	2,08142
3510	1,90918	3510	2	3510	1,87934
3511	1,875	3511	2	3511	2,58662
3512	1,86523	3512	2	3512	2,7887
3513	1,87988	3513	2	3513	2,48558
3514	1,89941	3514	2	3514	2,08142
3515	1,875	3515	2	3515	2,58662
3516	1,85547	3516	2	3516	2,99078
3517	1,86523	3517	2	3517	2,7887
3518	1,8457	3518	2	3518	3,19286
3519	1,875	3519	2	3519	2,58662
3520	1,89941	3520	2	3520	2,08142
3521	1,91406	3521	2	3521	1,7783
3522	1,85547	3522	2	3522	2,99078
3523	1,83105	3523	2	3523	3,49598
3524	1,85547	3524	2	3524	2,99078
3525	1,85547	3525	2	3525	2,99078
3526	1,88477	3526	2	3526	2,38454
3527	1,87988	3527	2	3527	2,48558
3528	1,88965	3528	2	3528	2,2835
3529	1,87988	3529	2	3529	2,48558
3530	1,875	3530	2	3530	2,58662
3531	1,86035	3531	2	3531	2,88974
3532	1,86523	3532	2	3532	2,7887
3533	1,88477	3533	2	3533	2,38454
3534	1,86523	3534	2	3534	2,7887
3535	1,87012	3535	2	3535	2,68766
3536	1,86035	3536	2	3536	2,88974
3537	1,87012	3537	2	3537	2,68766
3538	1,86035	3538	2	3538	2,88974
3539	1,87012	3539	2	3539	2,68766
3540	1,87988	3540	2	3540	2,48558
3541	1,90918	3541	2	3541	1,87934
3542	1,87988	3542	2	3542	2,48558
3543	1,86523	3543	2	3543	2,7887
3544	1,85547	3544	2	3544	2,99078
3545	1,8457	3545	2	3545	3,19286
3546	1,86035	3546	2	3546	2,88974
3547	1,875	3547	2	3547	2,58662
3548	1,88965	3548	2	3548	2,2835
3549	1,89941	3549	2	3549	2,08142
3550	1,87988	3550	2	3550	2,48558
3551	1,86035	3551	2	3551	2,88974
3552	1,85059	3552	2	3552	3,09182
3553	1,84082	3553	2	3553	3,2939
3554	1,9043	3554	2	3554	1,98038
3555	1,88477	3555	2	3555	2,38454
3556	1,86523	3556	2	3556	2,7887
3557	1,86035	3557	2	3557	2,88974
3558	1,85547	3558	2	3558	2,99078
3559	1,87012	3559	2	3559	2,68766
3560	1,88965	3560	2	3560	2,2835
3561	1,87988	3561	2	3561	2,48558
3562	1,83105	3562	2	3562	3,49598
3563	1,86523	3563	2	3563	2,7887
3564	1,89453	3564	2	3564	2,18246
3565	1,89941	3565	2	3565	2,08142
3566	1,875	3566	2	3566	2,58662
3567	1,85547	3567	2	3567	2,99078
3568	1,86035	3568	2	3568	2,88974
3569	1,9043	3569	2	3569	1,98038
3570	1,88477	3570	2	3570	2,38454
3571	1,89453	3571	2	3571	2,18246
3572	1,875	3572	2	3572	2,58662
3573	1,83594	3573	2	3573	3,39494
3574	1,85059	3574	2	3574	3,09182
3575	1,88477	3575	2	3575	2,38454
3576	1,90918	3576	2	3576	1,87934
3577	1,875	3577	2	3577	2,58662
3578	1,83594	3578	2	3578	3,39494
3579	1,85547	3579	2	3579	2,99078
3580	1,86035	3580	2	3580	2,88974
3581	1,88477	3581	2	3581	2,38454
3582	1,87988	3582	2	3582	2,48558
3583	1,87988	3583	2	3583	2,48558
3584	1,87012	3584	2	3584	2,68766
3585	1,85547	3585	2	3585	2,99078
3586	1,86035	3586	2	3586	2,88974
3587	1,87988	3587	2	3587	2,48558
3588	1,89941	3588	2	3588	2,08142
3589	1,87988	3589	2	3589	2,48558
3590	1,87988	3590	2	3590	2,48558
3591	1,85547	3591	2	3591	2,99078
3592	1,85547	3592	2	3592	2,99078
3593	1,85547	3593	2	3593	2,99078
3594	1,86523	3594	2	3594	2,7887
3595	1,87988	3595	2	3595	2,48558
3596	1,91895	3596	2	3596	1,67726
3597	1,88477	3597	2	3597	2,38454
3598	1,87012	3598	2	3598	2,68766
3599	1,85547	3599	2	3599	2,99078
3600	1,85059	3600	2	3600	3,09182
3601	1,86035	3601	2	3601	2,88974
3602	1,875	3602	2	3602	2,58662
3603	1,87988	3603	2	3603	2,48558
3604	1,89941	3604	2	3604	2,08142
3605	1,875	3605	2	3605	2,58662
3606	1,86035	3606	2	3606	2,88974
3607	1,85059	3607	2	3607	3,09182
3608	1,87012	3608	2	3608	2,68766
3609	1,89941	3609	2	3609	2,08142
3610	1,87988	3610	2	3610	2,48558
3611	1,87988	3611	2	3611	2,48558
3612	1,85059	3612	2	3612	3,09182
3613	1,8457	3613	2	3613	3,19286
3614	1,86035	3614	2	3614	2,88974
3615	1,88477	3615	2	3615	2,38454
3616	1,88477	3616	2	3616	2,38454
3617	1,83105	3617	2	3617	3,49598
3618	1,86035	3618	2	3618	2,88974
3619	1,875	3619	2	3619	2,58662
3620	1,9043	3620	2	3620	1,98038
3621	1,90918	3621	2	3621	1,87934
3622	1,86523	3622	2	3622	2,7887
3623	1,86523	3623	2	3623	2,7887
3624	1,89453	3624	2	3624	2,18246
3625	1,875	3625	2	3625	2,58662
3626	1,86523	3626	2	3626	2,7887
3627	1,875	3627	2	3627	2,58662
3628	1,8457	3628	2	3628	3,19286
3629	1,86523	3629	2	3629	2,7887
3630	1,88965	3630	2	3630	2,2835
3631	1,91406	3631	2	3631	1,7783
3632	1,875	3632	2	3632	2,58662
3633	1,83594	3633	2	3633	3,39494
3634	1,85547	3634	2	3634	2,99078
3635	1,85059	3635	2	3635	3,09182
3636	1,87988	3636	2	3636	2,48558
3637	1,90918	3637	2	3637	1,87934
3638	1,88477	3638	2	3638	2,38454
3639	1,86523	3639	2	3639	2,7887
3640	1,8457	3640	2	3640	3,19286
3641	1,86035	3641	2	3641	2,88974
3642	1,86523	3642	2	3642	2,7887
3643	1,88965	3643	2	3643	2,2835
3644	1,875	3644	2	3644	2,58662
3645	1,87988	3645	2	3645	2,48558
3646	1,87012	3646	2	3646	2,68766
3647	1,87012	3647	2	3647	2,68766
3648	1,86035	3648	2	3648	2,88974
3649	1,86523	3649	2	3649	2,7887
3650	1,875	3650	2	3650	2,58662
3651	1,9043	3651	2	3651	1,98038
3652	1,88477	3652	2	3652	2,38454
3653	1,85547	3653	2	3653	2,99078
3654	1,85547	3654	2	3654	2,99078
3655	1,85547	3655	2	3655	2,99078
3656	1,86523	3656	2	3656	2,7887
3657	1,87988	3657	2	3657	2,48558
3658	1,91406	3658	2	3658	1,7783
3659	1,91895	3659	2	3659	1,67726
3660	1,86523	3660	2	3660	2,7887
3661	1,8457	3661	2	3661	3,19286
3662	1,83594	3662	2	3662	3,39494
3663	1,85547	3663	2	3663	2,99078
3664	1,89941	3664	2	3664	2,08142
3665	1,88965	3665	2	3665	2,2835
3666	1,89453	3666	2	3666	2,18246
3667	1,88965	3667	2	3667	2,2835
3668	1,8457	3668	2	3668	3,19286
3669	1,85059	3669	2	3669	3,09182
3670	1,87012	3670	2	3670	2,68766
3671	1,9043	3671	2	3671	1,98038
3672	1,83105	3672	2	3672	3,49598
3673	1,85547	3673	2	3673	2,99078
3674	1,87012	3674	2	3674	2,68766
3675	1,84082	3675	2	3675	3,2939
3676	1,88477	3676	2	3676	2,38454
3677	1,88965	3677	2	3677	2,2835
3678	1,89941	3678	2	3678	2,08142
3679	1,91406	3679	2	3679	1,7783
3680	1,88477	3680	2	3680	2,38454
3681	1,875	3681	2	3681	2,58662
3682	1,875	3682	2	3682	2,58662
3683	1,8457	3683	2	3683	3,19286
3684	1,86035	3684	2	3684	2,88974
3685	1,88477	3685	2	3685	2,38454
3686	1,90918	3686	2	3686	1,87934
3687	1,87988	3687	2	3687	2,48558
3688	1,86523	3688	2	3688	2,7887
3689	1,8457	3689	2	3689	3,19286
3690	1,84082	3690	2	3690	3,2939
3691	1,87012	3691	2	3691	2,68766
3692	1,89941	3692	2	3692	2,08142
3693	1,88477	3693	2	3693	2,38454
3694	1,86523	3694	2	3694	2,7887
3695	1,8457	3695	2	3695	3,19286
3696	1,86523	3696	2	3696	2,7887
3697	1,86035	3697	2	3697	2,88974
3698	1,89453	3698	2	3698	2,18246
3699	1,88477	3699	2	3699	2,38454
3700	1,87988	3700	2	3700	2,48558
3701	1,87012	3701	2	3701	2,68766
3702	1,86035	3702	2	3702	2,88974
3703	1,86035	3703	2	3703	2,88974
3704	1,87012	3704	2	3704	2,68766
3705	1,89453	3705	2	3705	2,18246
3706	1,90918	3706	2	3706	1,87934
3707	1,87988	3707	2	3707	2,48558
3708	1,85547	3708	2	3708	2,99078
3709	1,85547	3709	2	3709	2,99078
