tempo                     vel                         tempo            pos                tempo               in                    tempo         esf
                       833                   -0,483398              833           -9,25293                 833                    -6           833        -1,85948
                       834                    -0,50293              834           -9,31641                 834                    -6           834        -1,79275
                       835                   -0,517578              835             -9,375                 835                    -6           835        -1,73513
                       836                   -0,541992              836           -9,43359                 836                    -6           836        -1,67713
                       837                   -0,571289              837           -9,63867                 837                    -6           837        -1,62146
                       838                    -0,59082              838           -9,58008                 838                    -6           838        -1,57645
                       839                   -0,595703              839           -9,66309                 839                    -6           839        -1,54417
                       840                   -0,615234              840           -9,73145                 840                    -6           840        -1,50631
                       841                   -0,600586              841           -9,80957                 841                    -6           841        -1,49203
                       842                   -0,605469              842            9,35059                 842                    -6           842        -1,46796
                       843                   -0,600586              843            9,31152                 843                    -6           843        -1,45196
                       844                   -0,561523              844            9,21387                 844                    -6           844        -1,45794
                       845                   -0,571289              845            9,14551                 845                    -6           845         -1,4353
                       846                   -0,561523              846             9,0625                 846                    -6           846        -1,42627
                       847                   -0,571289              847            8,98926                 847                    -6           847         -1,4068
                       848                   -0,571289              848            8,91602                 848                    -6           848        -1,39484
                       849                   -0,561523              849            8,86231                 849                    -6           849        -1,38986
                       850                   -0,566406              850            8,79883                 850                    -6           850        -1,37692
                       851                   -0,546875              851            8,71582                 851                    -6           851        -1,37964
                       852                   -0,566406              852            8,64746                 852                    -6           852        -1,35939
                       853                   -0,556641              853            8,60352                 853                    -6           853        -1,35807
                       854                   -0,561523              854            8,52539                 854                    -6           854        -1,34843
                       855                   -0,556641              855            8,45703                 855                    -6           855        -1,34543
                       856                   -0,561523              856            8,38867                 856                    -6           856        -1,33705
                       857                   -0,566406              857            8,31055                 857                    -6           857         -1,3294
                       858                   -0,571289              858            8,24707                 858                    -6           858         -1,3224
                       859                   -0,576172              859            8,18359                 859                    -6           859        -1,31598
                       860                   -0,585938              860            8,11035                 860                    -6           860        -1,30719
                       861                   -0,595703              861            8,03223                 861                    -6           861        -1,29905
                       862                   -0,600586              862            7,97852                 862                    -6           862        -1,29439
                       863                   -0,600586              863            7,89063                 863                    -6           863        -1,29297
                       864                   -0,605469              864            7,81738                 864                    -6           864         -1,2888
                       865                   -0,595703              865            7,73926                 865                    -6           865        -1,29361
